# Fits year per year for usual results: 2021-2025
# Program: HISTORIA
# 
year,n_observed,alpha,beta,mean_score,score_sd
2021,452,5.4854,4.8405,63.75,18.54
2022,454,5.8739,5.5090,61.92,17.83
2023,466,5.8860,5.8786,60.04,17.60
2024,377,5.3813,5.1874,61.10,18.40
2025,406,7.2629,6.5327,63.18,16.45
