# Fits year per year for usual results: 2021-2025
# Program: LENGUA Y LITERATURAS HISPANICAS
# 
year,n_observed,alpha,beta,mean_score,score_sd
2021,299,4.9904,3.5940,69.76,19.79
2022,344,5.4704,4.4395,66.24,18.80
2023,303,5.4877,4.3580,66.88,18.83
2024,232,4.8042,3.7980,67.02,19.91
2025,252,5.4999,4.4750,66.17,18.75
