# Fits year per year for usual results: 2021-2025
# Program: FISICA
# 
year,n_observed,alpha,beta,mean_score,score_sd
2021,1225,4.0029,2.2109,77.30,21.94
2022,1057,4.0197,2.3988,75.15,21.88
2023,887,4.3687,2.6085,75.14,21.15
2024,817,3.8733,2.2458,75.96,22.22
2025,798,4.1348,2.4730,75.09,21.63
