area,program,num_2026,expected_score_mean,expected_score_stdev,obtained_score_mean,obtained_score_stdev,inferred_atypical_mean,inferred_atypical_stdev,fraction_atypical_mean,fraction_atypical_stdev
1,INGENIERIA QUIMICA METALURGICA,76,64.29,19.60,73.72,22.17,93.96,12.45,0.33441,0.07897
1,MATEMATICAS,289,75.83,22.60,84.48,20.66,100.10,9.06,0.32716,0.06636
1,MATEMATICAS APLICADAS,147,72.30,22.19,83.90,21.89,98.55,11.79,0.42719,0.07659
1,MATEMATICAS APLICADAS Y COMPUTACION,419,59.38,18.43,67.94,21.42,89.66,13.65,0.27755,0.05073
1,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,46,65.33,19.44,70.93,20.58,96.84,12.79,0.26938,0.30060
1,URBANISMO,106,59.37,19.27,76.18,22.18,95.16,9.80,0.43688,0.04749
2,BIOLOGIA,2679,61.37,19.14,72.18,23.45,97.88,11.57,0.28835,0.01761
2,BIOQUIMICA DIAGNOSTICA,338,60.30,18.87,68.40,23.55,68.92,24.51,0.87040,0.06733
2,CIENCIAS AGROFORESTALES,34,59.10,17.27,68.06,21.57,74.45,19.51,0.75914,0.28771
2,CIENCIAS AMBIENTALES,59,62.17,18.03,69.85,19.66,85.71,14.51,0.36140,0.22211
2,CIRUJANO DENTISTA,7305,54.15,18.05,73.02,26.85,97.67,11.86,0.44044,0.02903
2,ENFERMERIA,5253,49.55,15.83,64.81,25.39,90.32,14.51,0.38716,0.02143
2,ENFERMERIA Y OBSTETRICIA,1593,49.64,16.10,64.47,25.97,93.17,13.03,0.35217,0.01924
2,FARMACIA,221,58.05,17.29,70.14,22.28,90.63,12.92,0.37356,0.03936
2,FISIOTERAPIA,364,49.13,15.56,61.62,23.81,88.69,13.37,0.32711,0.02412
2,INGENIERIA AGRICOLA,239,51.59,15.46,59.86,22.08,69.76,24.42,0.46124,0.05626
2,INGENIERIA EN ALIMENTOS,384,52.82,16.08,66.14,21.92,83.19,17.62,0.42997,0.06951
2,MANEJO SUSTENTABLE DE ZONAS COSTERAS,33,55.86,16.79,65.52,21.58,95.84,6.22,0.23811,0.01667
2,MEDICINA VETERINARIA Y ZOOTECNIA,5516,55.50,18.64,69.70,25.80,97.26,11.87,0.34535,0.01545
2,MEDICO CIRUJANO,22933,60.73,21.11,78.08,26.92,103.61,10.01,0.39920,0.02593
2,NUTRIOLOGIA,1373,51.90,17.15,67.83,25.14,93.38,13.25,0.37977,0.02190
2,ODONTOLOGIA,871,50.85,17.41,70.04,25.58,93.34,12.56,0.44213,0.03098
2,OPTOMETRIA,330,51.93,16.18,66.28,23.65,78.24,20.16,0.58611,0.16138
2,PSICOLOGIA,8317,53.24,17.42,65.86,24.93,95.39,12.60,0.30169,0.02362
2,QUIMICA,509,63.96,20.94,73.85,22.96,93.06,14.93,0.35964,0.17223
2,QUIMICA DE ALIMENTOS,473,62.47,20.77,74.15,23.18,96.70,11.68,0.32016,0.02181
2,QUIMICA FARMACEUTICO BIOLOGICA,3473,61.03,19.80,73.96,24.67,99.11,11.32,0.33824,0.01715
2,QUIMICA INDUSTRIAL,221,53.70,16.12,67.08,22.64,87.41,14.94,0.39699,0.06146
3,ADMINISTRACION,7310,54.68,17.96,70.92,25.00,94.62,12.53,0.40320,0.01360
3,ADMINISTRACION AGROPECUARIA,41,49.21,15.10,58.10,22.98,74.80,13.44,0.56583,0.36010
3,ANTROPOLOGIA,275,63.67,19.12,73.13,19.95,77.39,19.37,0.70753,0.17038
3,CIENCIAS DE LA COMUNICACION,1370,57.43,19.20,73.19,23.90,94.58,12.74,0.40822,0.04101
3,CIENCIAS POLITICAS Y ADMON PUBLICA,821,59.22,18.23,72.94,23.22,94.13,12.54,0.38574,0.02801
3,COMUNICACION,845,57.90,17.68,70.23,21.90,90.04,13.27,0.37661,0.01656
3,COMUNICACION Y PERIODISMO,1016,55.40,16.84,67.76,22.74,89.97,13.48,0.35850,0.01613
3,CONTADURIA,5647,57.69,18.67,72.88,24.08,95.06,12.29,0.39939,0.01820
3,DERECHO,9129,53.82,17.80,70.82,25.18,94.09,12.79,0.42062,0.01711
3,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,83,48.94,14.36,59.73,22.16,86.90,10.56,0.30742,0.04225
3,DESARROLLO TERRITORIAL,7,52.93,13.25,70.14,14.08,68.67,12.67,0.91887,0.18141
3,ECONOMIA,2762,60.73,18.44,75.70,22.61,94.24,12.24,0.43778,0.01413
3,ECONOMIA INDUSTRIAL,133,59.67,18.02,63.11,22.00,89.42,14.71,0.21918,0.17075
3,ESTUDIOS SOCIALES Y GESTION LOCAL,15,62.31,15.42,62.53,22.86,60.42,34.63,0.30740,0.05463
3,GEOGRAFIA,73,59.12,17.03,72.63,23.55,75.97,20.96,0.88673,0.25327
3,GEOGRAFIA APLICADA,30,66.91,20.65,69.30,21.35,79.73,17.18,0.66808,0.45475
3,INFORMATICA,219,52.83,16.81,65.64,21.77,86.18,13.53,0.37572,0.05321
3,PLANIF PARA EL DESARROLLO AGROPECUARIO,81,50.66,14.48,63.81,19.21,72.55,18.30,0.58474,0.10077
3,RELACIONES INTERNACIONALES,3005,57.24,18.44,73.66,24.11,95.15,11.89,0.42627,0.01488
3,SOCIOLOGIA,453,54.53,17.42,68.77,22.08,72.37,21.39,0.81663,0.15585
3,TRABAJO SOCIAL,659,48.43,14.36,58.90,22.39,67.73,24.31,0.54282,0.01320
4,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,82,46.63,15.58,56.29,22.06,85.68,13.72,0.24074,0.03474
4,ARTE Y DISEÑO,202,56.05,16.71,62.63,19.31,87.39,9.59,0.19759,0.06031
4,ARTES VISUALES,1502,59.07,18.89,66.94,22.07,95.13,11.30,0.20804,0.01002
4,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,115,52.22,14.23,60.22,20.39,88.12,13.46,0.22968,0.06094
4,CANTO,33,47.42,14.79,54.58,20.97,84.93,14.89,0.21447,0.10770
4,COMPOSICION,46,54.29,17.22,59.33,22.10,97.27,14.32,0.15506,0.08630
4,DESARROLLO Y GESTION INTERCULTURALES,98,62.31,17.92,64.59,19.56,64.59,19.25,1.00000,0.00000
4,DISEÑO GRAFICO,1104,51.74,16.41,62.23,23.11,92.21,11.74,0.26389,0.01442
4,DISEÑO Y COMUNICACION VISUAL,1818,59.74,18.96,67.51,22.81,97.05,9.96,0.21216,0.00609
4,EDUCACION MUSICAL,22,50.81,16.49,55.86,15.77,69.22,14.08,0.51794,0.45506
4,ENSEÑANZA DE INGLES,133,55.46,15.88,65.29,17.88,70.57,17.40,0.64286,0.09402
4,ESTUDIOS LATINOAMERICANOS,95,64.57,18.31,65.01,19.77,66.00,19.74,0.49949,0.29592
4,ETNOMUSICOLOGIA,8,61.03,15.79,62.38,17.15,65.96,9.08,0.40331,0.34638
4,FILOSOFIA,337,62.18,20.00,67.99,21.90,87.02,13.76,0.30835,0.18119
4,GEOHISTORIA,6,56.83,12.14,70.50,9.95,73.99,8.18,0.77462,0.36285
4,HISTORIA,425,62.00,17.76,65.12,17.93,62.09,12.79,0.34579,0.40346
4,HISTORIA DEL ARTE,19,64.18,16.55,65.32,20.30,74.25,17.60,0.72013,0.39664
4,INSTRUMENTISTA,69,57.83,17.40,66.26,18.08,66.98,17.74,0.94234,0.12894
4,LENGUA Y LITERATURAS HISPANICAS,231,67.21,19.21,69.64,19.92,95.50,11.52,0.11225,0.07016
4,LENGUA Y LITERATURAS MODERNAS (LETRAS ALEMANAS),4,57.21,18.55,81.25,18.43,92.00,10.39,0.62303,0.37852
4,LENGUA Y LITERATURAS MODERNAS (LETRAS FRANCESAS),8,52.67,16.83,71.25,23.92,92.81,4.66,0.48067,0.01487
4,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),70,65.81,20.18,70.67,20.23,76.17,17.89,0.74536,0.37076
4,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),23,59.39,17.08,65.91,21.05,84.13,12.09,0.41060,0.33007
4,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),9,55.80,16.47,65.78,22.00,70.09,16.93,0.81999,0.25072
4,LETRAS CLASICAS,47,66.42,19.76,70.77,17.30,90.45,10.37,0.60000,0.54772
4,LINGÜISTICA APLICADA,84,63.43,21.63,68.36,21.47,70.88,20.94,0.89747,0.22927
4,LITERATURA DRAMATICA Y TEATRO,347,65.63,19.25,71.83,21.40,93.43,12.16,0.26928,0.15729
4,LITERATURA INTERCULTURAL,14,65.90,17.20,62.43,12.01,57.69,8.41,0.67531,0.31082
4,MUSICA Y TECNOLOGIA ARTISTICA,32,64.68,19.34,65.69,15.86,72.20,7.37,0.34824,0.20413
4,PEDAGOGIA,3608,47.54,14.70,60.88,22.40,82.35,15.86,0.38158,0.01317
4,PIANO,20,60.04,19.13,73.00,19.60,78.91,16.95,0.78638,0.29731
4,TEATRO Y ACTUACION,560,56.04,17.11,63.92,20.84,83.39,13.44,0.33982,0.18343
4,TRADUCCION,295,67.66,21.48,74.74,22.19,94.99,11.26,0.35236,0.34112
