# Fits year per year for usual results: 2021-2025
# Program: MEDICO CIRUJANO
# 
year,n_observed,alpha,beta,mean_score,score_sd
2021,20379,4.1804,4.1268,60.39,20.34
2022,23481,4.1721,4.3429,58.80,20.13
2023,23138,3.9799,3.7579,61.72,20.93
2024,21421,3.5658,3.4690,60.83,21.78
2025,22837,3.3982,3.1866,61.93,22.36
