# Inferred cheater fraction depending on baseline year: 2021-2025
# Program: SOCIOLOGIA
# 
usual_year,usual_mean_score,usual_score_sd,atypical_mean_score,atypical_score_sd,fraction_atypical
2021,56.02,17.03,70.70,22.30,0.85587
2022,55.07,17.50,70.40,22.21,0.88175
2023,51.88,15.82,70.74,22.07,0.88450
2024,55.13,18.55,69.68,22.18,0.92885
2025,54.56,18.18,69.85,22.17,0.92005
