# Inferred cheater fraction depending on baseline year: 2021-2025
# Program: FISICA
# 
usual_year,usual_mean_score,usual_score_sd,atypical_mean_score,atypical_score_sd,fraction_atypical
2021,77.30,21.94,104.40,7.31,0.15728
2022,75.15,21.88,102.97,8.56,0.22129
2023,75.14,21.15,103.60,8.21,0.22637
2024,75.96,22.22,103.20,8.26,0.19502
2025,75.09,21.63,103.18,8.46,0.22436
