# Fits year per year for usual results: 2021-2025
# Program: SOCIOLOGIA
# 
year,n_observed,alpha,beta,mean_score,score_sd
2021,538,5.9120,6.7521,56.02,17.03
2022,629,5.4291,6.4004,55.07,17.50
2023,699,6.4256,8.4357,51.88,15.82
2024,527,4.7267,5.5613,55.13,18.55
2025,541,4.8959,5.8723,54.56,18.18
