# Fits year per year for usual results: 2021-2025
# Program: ACTUARIA
# 
year,n_observed,alpha,beta,mean_score,score_sd
2021,1463,3.9220,2.9498,68.49,21.77
2022,1312,3.8419,3.1153,66.27,21.76
2023,1332,4.4439,3.7339,65.21,20.39
2024,1539,3.6439,2.8075,67.78,22.37
2025,2005,4.0082,3.1056,67.61,21.50
